#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Sep_2023_Well1.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-09-01 00:05:00 to 2023-09-26 03:00:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   99,20230903.0610/
  101,20230903.0615/
   86,20230903.0635/
   89,20230903.0640/
   97,20230903.0645/
   92,20230903.0705/
   93,20230903.0710/
   93,20230903.0715/
   96,20230903.0735/
  109,20230903.0740/
  102,20230903.0745/
   96,20230903.0805/
   92,20230903.0810/
   88,20230903.0815/
   94,20230903.0835/
   96,20230903.0840/
   99,20230903.0845/
   98,20230903.0905/
   99,20230903.0910/
   84,20230903.0915/
   92,20230903.0935/
   89,20230903.0940/
   86,20230903.0945/
   95,20230903.1005/
   91,20230903.1010/
   94,20230903.1015/
   89,20230903.1035/
   92,20230903.1040/
   89,20230903.1045/
   97,20230903.1105/
   82,20230903.1110/
   84,20230903.1115/
   84,20230903.1135/
   89,20230903.1140/
   97,20230903.1145/
   86,20230903.1205/
   98,20230903.1210/
   97,20230903.1215/
  100,20230903.1235/
   98,20230903.1240/
   86,20230903.1245/
   91,20230903.1305/
   87,20230903.1310/
   84,20230903.1315/
   79,20230903.1335/
   86,20230903.1340/
   87,20230903.1345/
   88,20230903.1405/
   84,20230903.1410/
   83,20230903.1415/
   91,20230903.1435/
   86,20230903.1440/
   83,20230903.1445/
   81,20230903.1505/
   85,20230903.1510/
   83,20230903.1515/
   80,20230903.1535/
   81,20230903.1540/
   81,20230903.1545/
   75,20230903.1605/
   73,20230903.1610/
   69,20230903.1615/
   78,20230903.1635/
   74,20230903.1640/
   75,20230903.1645/
   71,20230903.1705/
   69,20230903.1710/
   80,20230903.1715/
   82,20230903.1735/
   88,20230903.1740/
   87,20230903.1745/
   82,20230903.1805/
   85,20230903.1810/
   87,20230903.1815/
   84,20230903.1835/
   81,20230903.1840/
   80,20230903.1845/
   77,20230903.1905/
   81,20230903.1910/
   87,20230903.1915/
   85,20230903.1935/
   91,20230903.1940/
   93,20230903.1945/
   91,20230903.2005/
   93,20230903.2010/
   88,20230903.2015/
   89,20230903.2035/
   93,20230903.2040/
   96,20230903.2045/
   95,20230903.2105/
   96,20230903.2110/
   96,20230903.2115/
   95,20230903.2135/
   99,20230903.2140/
  100,20230903.2145/
   98,20230903.2205/
  100,20230903.2210/
  102,20230903.2215/
  101,20230903.2235/
  106,20230903.2240/
  107,20230903.2245/
  109,20230903.2305/
  104,20230903.2310/
   99,20230903.2315/
  105,20230903.2335/
  102,20230903.2340/
  102,20230903.2345/
  107,20230904.0005/
  102,20230904.0010/
  104,20230904.0015/
  104,20230904.0035/
  105,20230904.0040/
  101,20230904.0045/
  102,20230904.0105/
  109,20230904.0110/
  104,20230904.0115/
  108,20230904.0135/
   99,20230904.0140/
  107,20230904.0145/
  101,20230904.0205/
   98,20230904.0210/
   98,20230904.0215/
  101,20230904.0235/
  103,20230904.0240/
  100,20230904.0245/
   98,20230904.0305/
   98,20230904.0310/
   95,20230904.0315/
   97,20230904.0335/
   90,20230904.0340/
   89,20230904.0345/
   88,20230904.0405/
   97,20230904.0410/
   87,20230904.0415/
   83,20230904.0435/
   82,20230904.0440/
   91,20230904.0445/
   87,20230904.0505/
   86,20230904.0510/
   86,20230904.0515/
   94,20230904.0535/
   83,20230904.0540/
   74,20230904.0545/
   79,20230904.0605/
   82,20230904.0610/
   89,20230904.0615/
   80,20230904.0635/
   83,20230904.0640/
   88,20230904.0645/
   98,20230904.0705/
   95,20230904.0710/
   73,20230904.0715/
   74,20230904.0735/
   75,20230904.0740/
   82,20230904.0745/
   79,20230904.0805/
   78,20230904.0810/
   77,20230904.0815/
   78,20230904.0835/
   77,20230904.0840/
   73,20230904.0845/
   81,20230904.0905/
   74,20230904.0910/
   70,20230904.0915/
   71,20230904.0935/
   76,20230904.0940/
   77,20230904.0945/
   79,20230904.1005/
   73,20230904.1010/
   76,20230904.1015/
   75,20230904.1035/
   68,20230904.1040/
   73,20230904.1045/
   74,20230904.1105/
   73,20230904.1110/
   66,20230904.1115/
   66,20230904.1135/
   68,20230904.1140/
   73,20230904.1145/
   71,20230904.1205/
   69,20230904.1210/
   69,20230904.1215/
   66,20230904.1235/
   69,20230904.1240/
   69,20230904.1245/
   66,20230904.1305/
   67,20230904.1310/
   71,20230904.1315/
   67,20230904.1335/
   72,20230904.1340/
   70,20230904.1345/
   70,20230904.1405/
   67,20230904.1410/
   66,20230904.1415/
   67,20230904.1435/
   68,20230904.1440/
   64,20230904.1445/
   64,20230904.1505/
   65,20230904.1510/
   65,20230904.1515/
   65,20230904.1535/
   67,20230904.1540/
   65,20230904.1545/
   70,20230904.1605/
   66,20230904.1610/
   64,20230904.1615/
   64,20230904.1635/
   69,20230904.1640/
   68,20230904.1645/
   74,20230904.1705/
   71,20230904.1710/
   68,20230904.1715/
   70,20230904.1735/
   74,20230904.1740/
   72,20230904.1745/
   71,20230904.1805/
   73,20230904.1810/
   70,20230904.1815/
   75,20230904.1835/
   74,20230904.1840/
   70,20230904.1845/
   81,20230904.1905/
   75,20230904.1910/
   84,20230904.1915/
   90,20230904.1935/
   94,20230904.1940/
   89,20230904.1945/
   95,20230904.2005/
   90,20230904.2010/
   97,20230904.2015/
   94,20230904.2035/
   88,20230904.2040/
   94,20230904.2045/
   91,20230904.2105/
   91,20230904.2110/
   93,20230904.2115/
   97,20230904.2135/
   97,20230904.2140/
   99,20230904.2145/
  101,20230904.2205/
   97,20230904.2210/
   98,20230904.2215/
  102,20230904.2235/
  100,20230904.2240/
  104,20230904.2245/
  102,20230904.2305/
  102,20230904.2310/
  104,20230904.2315/
  105,20230904.2335/
  107,20230904.2340/
  103,20230904.2345/
  105,20230905.0005/
  106,20230905.0010/
  101,20230905.0015/
  102,20230905.0035/
  105,20230905.0040/
  104,20230905.0045/
  109,20230905.0105/
  102,20230905.0110/
  107,20230905.0115/
  104,20230905.0135/
  102,20230905.0140/
  104,20230905.0145/
   92,20230905.0435/
   97,20230905.0440/
   97,20230905.0445/
   91,20230905.0505/
   88,20230905.0510/
   86,20230905.0515/
   88,20230905.0535/
   93,20230905.0540/
   86,20230905.0545/
   86,20230905.0605/
   84,20230905.0610/
   85,20230905.0615/
   88,20230905.0635/
   88,20230905.0640/
   84,20230905.0645/
   81,20230905.0705/
   84,20230905.0710/
   90,20230905.0715/
   84,20230905.0735/
   80,20230905.0740/
   77,20230905.0745/
   83,20230905.0805/
   76,20230905.0810/
   72,20230905.0815/
   73,20230905.0835/
   75,20230905.0840/
   81,20230905.0845/
   81,20230905.0905/
   78,20230905.0910/
   76,20230905.0915/
   80,20230905.0935/
   73,20230905.0940/
   71,20230905.0945/
   75,20230905.1005/
   79,20230905.1010/
   77,20230905.1015/
   68,20230905.1035/
   65,20230905.1040/
   67,20230905.1045/
   71,20230905.1105/
   70,20230905.1110/
   71,20230905.1115/
   69,20230905.1135/
   69,20230905.1140/
   69,20230905.1145/
   69,20230905.1205/
   68,20230905.1210/
   70,20230905.1215/
   66,20230905.1235/
   70,20230905.1240/
   68,20230905.1245/
   62,20230905.1305/
   63,20230905.1310/
   66,20230905.1315/
   66,20230905.1335/
   65,20230905.1340/
   62,20230905.1345/
   62,20230905.1405/
   66,20230905.1410/
   69,20230905.1415/
   65,20230905.1435/
   68,20230905.1440/
   71,20230905.1445/
   73,20230905.1505/
   68,20230905.1510/
   69,20230905.1515/
   67,20230905.1535/
   69,20230905.1540/
   66,20230905.1545/
   67,20230905.1605/
   68,20230905.1610/
   68,20230905.1615/
   71,20230905.1635/
   67,20230905.1640/
   68,20230905.1645/
   75,20230905.1705/
   77,20230905.1710/
   84,20230905.1715/
   73,20230905.1735/
   75,20230905.1740/
   73,20230905.1745/
   80,20230905.1805/
   79,20230905.1810/
   80,20230905.1815/
   80,20230905.1835/
   75,20230905.1840/
   76,20230905.1845/
   83,20230905.1905/
   86,20230905.1910/
   86,20230905.1915/
   89,20230905.1935/
   90,20230905.1940/
  102,20230905.1945/
   95,20230905.2005/
   99,20230905.2010/
   95,20230905.2015/
  100,20230905.2035/
   99,20230905.2040/
  102,20230905.2045/
  103,20230905.2105/
   98,20230905.2110/
  103,20230905.2115/
   99,20230905.2135/
  103,20230905.2140/
  103,20230905.2145/
  106,20230905.2205/
  104,20230905.2210/
  107,20230905.2215/
  107,20230905.2235/
  110,20230905.2240/
  108,20230905.2245/
  107,20230905.2305/
  106,20230905.2310/
  109,20230905.2315/
  113,20230905.2335/
  115,20230905.2340/
  116,20230905.2345/
  111,20230906.0005/
  113,20230906.0010/
  112,20230906.0015/
  112,20230906.0035/
  114,20230906.0040/
  112,20230906.0045/
  107,20230906.0105/
  104,20230906.0110/
  109,20230906.0115/
  109,20230906.0135/
  113,20230906.0140/
  107,20230906.0145/
  111,20230906.0205/
  114,20230906.0210/
  113,20230906.0215/
  106,20230906.0235/
  109,20230906.0240/
  106,20230906.0245/
  103,20230906.0305/
  107,20230906.0310/
  104,20230906.0315/
  105,20230906.0335/
  101,20230906.0340/
   89,20230906.0345/
   95,20230906.0405/
   96,20230906.0410/
   95,20230906.0415/
   95,20230906.0435/
   92,20230906.0440/
   96,20230906.0445/
   94,20230906.0505/
   87,20230906.0510/
   84,20230906.0515/
   85,20230906.0535/
   92,20230906.0540/
   91,20230906.0545/
   85,20230906.0605/
   81,20230906.0610/
   83,20230906.0615/
   86,20230906.0635/
   85,20230906.0640/
   82,20230906.0645/
   79,20230906.0705/
   74,20230906.0710/
   74,20230906.0715/
   77,20230906.0735/
   73,20230906.0740/
   69,20230906.0745/
   73,20230906.0805/
   75,20230906.0810/
   78,20230906.0815/
   77,20230906.0835/
   74,20230906.0840/
   71,20230906.0845/
   74,20230906.0905/
   71,20230906.0910/
   69,20230906.0915/
   64,20230906.0935/
   60,20230906.0940/
   65,20230906.0945/
   61,20230906.1005/
   68,20230906.1010/
   65,20230906.1015/
   64,20230906.1035/
   59,20230906.1040/
   61,20230906.1045/
   59,20230906.1105/
   61,20230906.1110/
   56,20230906.1115/
   44,20230906.1135/
   45,20230906.1140/
   51,20230906.1145/
   52,20230906.1205/
   49,20230906.1210/
   49,20230906.1215/
   44,20230906.1235/
   47,20230906.1240/
   52,20230906.1245/
   47,20230906.1305/
   41,20230906.1310/
   42,20230906.1315/
   45,20230906.1335/
   47,20230906.1340/
   41,20230906.1345/
   43,20230906.1405/
   42,20230906.1410/
   43,20230906.1415/
   42,20230906.1435/
   40,20230906.1440/
   39,20230906.1445/
   41,20230906.1505/
   41,20230906.1510/
   37,20230906.1515/
   36,20230906.1535/
   38,20230906.1540/
   39,20230906.1545/
   41,20230906.1605/
   39,20230906.1610/
   41,20230906.1615/
   48,20230906.1635/
   47,20230906.1640/
   44,20230906.1645/
   45,20230906.1705/
   42,20230906.1710/
   47,20230906.1715/
   44,20230906.1735/
   51,20230906.1740/
   53,20230906.1745/
   49,20230906.1805/
   49,20230906.1810/
   49,20230906.1815/
   53,20230906.1835/
   54,20230906.1840/
   54,20230906.1845/
   57,20230906.1905/
   57,20230906.1910/
   59,20230906.1915/
   64,20230906.1935/
   65,20230906.1940/
   64,20230906.1945/
   66,20230906.2005/
   66,20230906.2010/
   70,20230906.2015/
   70,20230906.2035/
   74,20230906.2040/
   72,20230906.2045/
   73,20230906.2105/
   72,20230906.2110/
   72,20230906.2115/
   72,20230906.2135/
   73,20230906.2140/
   74,20230906.2145/
   77,20230906.2205/
   79,20230906.2210/
   81,20230906.2215/
   84,20230906.2235/
   85,20230906.2240/
   86,20230906.2245/
   87,20230906.2305/
   87,20230906.2310/
   86,20230906.2315/
   84,20230906.2335/
   87,20230906.2340/
   84,20230906.2345/
   85,20230907.0005/
   84,20230907.0010/
   85,20230907.0015/
   85,20230907.0035/
   88,20230907.0040/
   86,20230907.0045/
   87,20230907.0105/
   83,20230907.0110/
   84,20230907.0115/
   84,20230907.0135/
   87,20230907.0140/
   87,20230907.0145/
   88,20230907.0205/
   88,20230907.0210/
   88,20230907.0215/
   86,20230907.0235/
   86,20230907.0240/
   85,20230907.0245/
   83,20230907.0305/
   84,20230907.0310/
   83,20230907.0315/
   82,20230907.0335/
   82,20230907.0340/
   76,20230907.0345/
   79,20230907.0405/
   80,20230907.0410/
   79,20230907.0415/
   77,20230907.0435/
   78,20230907.0440/
   80,20230907.0445/
   76,20230907.0505/
   78,20230907.0510/
   81,20230907.0515/
   80,20230907.0535/
   77,20230907.0540/
   75,20230907.0545/
   72,20230907.0605/
   72,20230907.0610/
   73,20230907.0615/
   71,20230907.0635/
   69,20230907.0640/
   66,20230907.0645/
   63,20230907.0705/
   65,20230907.0710/
   69,20230907.0715/
   66,20230907.0735/
   66,20230907.0740/
   64,20230907.0745/
   63,20230907.0805/
   66,20230907.0810/
   65,20230907.0815/
   63,20230907.0835/
   61,20230907.0840/
   64,20230907.0845/
   63,20230907.0905/
   63,20230907.0910/
   58,20230907.0915/
   59,20230907.0935/
   56,20230907.0940/
   55,20230907.0945/
   57,20230907.1005/
   55,20230907.1010/
   53,20230907.1015/
   55,20230907.1035/
   55,20230907.1040/
   54,20230907.1045/
   51,20230907.1105/
   52,20230907.1110/
   50,20230907.1115/
   47,20230907.1135/
   49,20230907.1140/
   47,20230907.1145/
   41,20230907.1205/
   40,20230907.1210/
   38,20230907.1215/
   41,20230907.1235/
   40,20230907.1240/
   40,20230907.1245/
   38,20230907.1305/
   40,20230907.1310/
   40,20230907.1315/
   41,20230907.1335/
   38,20230907.1340/
   38,20230907.1345/
   35,20230907.1405/
   37,20230907.1410/
   36,20230907.1415/
   33,20230907.1435/
   33,20230907.1440/
   33,20230907.1445/
   37,20230907.1505/
   35,20230907.1510/
   33,20230907.1515/
   35,20230907.1535/
   36,20230907.1540/
   34,20230907.1545/
   36,20230907.1605/
   35,20230907.1610/
   38,20230907.1615/
   40,20230907.1635/
   44,20230907.1640/
   43,20230907.1645/
   41,20230907.1705/
   43,20230907.1710/
   43,20230907.1715/
   46,20230907.1735/
   43,20230907.1740/
   41,20230907.1745/
   44,20230907.1805/
   46,20230907.1810/
   49,20230907.1815/
   51,20230907.1835/
   53,20230907.1840/
   52,20230907.1845/
   54,20230907.1905/
   54,20230907.1910/
   53,20230907.1915/
   59,20230907.1935/
   60,20230907.1940/
   61,20230907.1945/
   59,20230907.2005/
   64,20230907.2010/
   67,20230907.2015/
   69,20230907.2035/
   66,20230907.2040/
   65,20230907.2045/
   70,20230907.2105/
   69,20230907.2110/
   66,20230907.2115/
   68,20230907.2135/
   68,20230907.2140/
   72,20230907.2145/
   74,20230907.2205/
   75,20230907.2210/
   76,20230907.2215/
   80,20230907.2235/
   82,20230907.2240/
   81,20230907.2245/
   85,20230907.2305/
   86,20230907.2310/
   91,20230907.2315/
   88,20230907.2335/
   86,20230907.2340/
   84,20230907.2345/
   85,20230908.0005/
   86,20230908.0010/
   86,20230908.0015/
   86,20230908.0035/
   83,20230908.0040/
   81,20230908.0045/
   85,20230908.0105/
   87,20230908.0110/
   90,20230908.0115/
   89,20230908.0135/
   90,20230908.0140/
   89,20230908.0145/
   93,20230908.0205/
   94,20230908.0210/
   90,20230908.0215/
   91,20230908.0235/
   90,20230908.0240/
   89,20230908.0245/
   93,20230908.0305/
   86,20230908.0310/
   87,20230908.0315/
   88,20230908.0335/
   90,20230908.0340/
   90,20230908.0345/
   87,20230908.0405/
   87,20230908.0410/
   84,20230908.0415/
   88,20230908.0435/
   85,20230908.0440/
   85,20230908.0445/
   86,20230908.0505/
   86,20230908.0510/
   82,20230908.0515/
   82,20230908.0535/
   85,20230908.0540/
   86,20230908.0545/
   86,20230908.0605/
   82,20230908.0610/
   83,20230908.0615/
   82,20230908.0635/
   81,20230908.0640/
   82,20230908.0645/
   77,20230908.0705/
   82,20230908.0710/
   78,20230908.0715/
   81,20230908.0735/
   79,20230908.0740/
   79,20230908.0745/
   76,20230908.0805/
   75,20230908.0810/
   73,20230908.0815/
   74,20230908.0835/
   73,20230908.0840/
   71,20230908.0845/
   67,20230908.0905/
   66,20230908.0910/
   66,20230908.0915/
   70,20230908.0935/
   70,20230908.0940/
   67,20230908.0945/
   67,20230908.1005/
   69,20230908.1010/
   69,20230908.1015/
   69,20230908.1035/
   69,20230908.1040/
   68,20230908.1045/
   64,20230908.1105/
   65,20230908.1110/
   63,20230908.1115/
   64,20230908.1135/
   64,20230908.1140/
   61,20230908.1145/
   59,20230908.1205/
   58,20230908.1210/
   60,20230908.1215/
   58,20230908.1235/
   59,20230908.1240/
   58,20230908.1245/
   55,20230908.1305/
   54,20230908.1310/
   53,20230908.1315/
   53,20230908.1335/
   51,20230908.1340/
   52,20230908.1345/
   49,20230908.1405/
   52,20230908.1410/
   51,20230908.1415/
   47,20230908.1435/
   46,20230908.1440/
   45,20230908.1445/
   50,20230908.1505/
   49,20230908.1510/
   48,20230908.1515/
   49,20230908.1535/
   48,20230908.1540/
   50,20230908.1545/
   50,20230908.1605/
   52,20230908.1610/
   50,20230908.1615/
   52,20230908.1635/
   48,20230908.1640/
   47,20230908.1645/
   54,20230908.1705/
   53,20230908.1710/
   51,20230908.1715/
   52,20230908.1735/
   59,20230908.1740/
   64,20230908.1745/
   65,20230908.1805/
   61,20230908.1810/
   61,20230908.1815/
   66,20230908.1835/
   66,20230908.1840/
   66,20230908.1845/
   67,20230908.1905/
   69,20230908.1910/
   67,20230908.1915/
   68,20230908.1935/
   67,20230908.1940/
   68,20230908.1945/
   69,20230908.2005/
   71,20230908.2010/
   73,20230908.2015/
   79,20230908.2035/
   79,20230908.2040/
   81,20230908.2045/
   88,20230908.2105/
   87,20230908.2110/
   87,20230908.2115/
   88,20230908.2135/
   89,20230908.2140/
   90,20230908.2145/
   86,20230908.2205/
   85,20230908.2210/
   84,20230908.2215/
   88,20230908.2235/
   92,20230908.2240/
   89,20230908.2245/
   97,20230908.2305/
   90,20230908.2310/
   92,20230908.2315/
   99,20230908.2335/
  102,20230908.2340/
  102,20230908.2345/
   99,20230909.0005/
  101,20230909.0010/
  103,20230909.0015/
  101,20230909.0035/
   99,20230909.0040/
  101,20230909.0045/
  102,20230909.0105/
  101,20230909.0110/
   99,20230909.0115/
  103,20230909.0135/
  103,20230909.0140/
  104,20230909.0145/
  101,20230909.0205/
  102,20230909.0210/
  105,20230909.0215/
  105,20230909.0235/
  107,20230909.0240/
  106,20230909.0245/
  108,20230909.0305/
  107,20230909.0310/
  108,20230909.0315/
  109,20230909.0335/
  110,20230909.0340/
  108,20230909.0345/
  109,20230909.0405/
  107,20230909.0410/
  103,20230909.0415/
  103,20230909.0435/
  103,20230909.0440/
  105,20230909.0445/
  102,20230909.0505/
  108,20230909.0510/
  107,20230909.0515/
  113,20230909.0535/
  105,20230909.0540/
  105,20230909.0545/
  107,20230909.0605/
  104,20230909.0610/
  105,20230909.0615/
  104,20230909.0635/
  103,20230909.0640/
  113,20230909.0645/
  106,20230909.0705/
  108,20230909.0710/
  106,20230909.0715/
  101,20230909.0735/
   99,20230909.0740/
  101,20230909.0745/
   97,20230909.0805/
   93,20230909.0810/
   98,20230909.0815/
   95,20230909.0835/
